Vis,U,V,W
 (-6.853682547807693481e-02+-3.677598215290345252e-05j), (-1.817076509590149362e+04+0.000000000000000000e+00j), (-6.264748461125734593e+02+0.000000000000000000e+00j), (1.337411633945627727e+03+0.000000000000000000e+00j)
 (-2.482340335845947266e-01+5.930623592576012015e-05j), (-2.104825623962913960e+04+0.000000000000000000e+00j), (-3.406644843110416332e+01+0.000000000000000000e+00j), (1.437184439958082294e+02+0.000000000000000000e+00j)
 (3.189957439899444580e-01+-6.186727114254608750e-05j), (-2.423639300847546838e+04+0.000000000000000000e+00j), (6.064593923510524291e+02+0.000000000000000000e+00j), (-1.186456028861454797e+03+0.000000000000000000e+00j)
 (7.143563125282526016e-03+7.595817442052066326e-05j), (-2.777976689559060469e+04+0.000000000000000000e+00j), (1.334774867378688668e+03+0.000000000000000000e+00j), (-2.489072856915635384e+03+0.000000000000000000e+00j)
 (3.083557188510894775e-01+-3.994863072875887156e-05j), (-8.628562178334905184e+03+0.000000000000000000e+00j), (-2.739153837512511473e+03+0.000000000000000000e+00j), (5.687743218096949931e+03+0.000000000000000000e+00j)
 (3.634883463382720947e-01+-5.215082637732848525e-05j), (-8.539115998449380641e+03+0.000000000000000000e+00j), (-3.171120675052453407e+03+0.000000000000000000e+00j), (6.582111392722622440e+03+0.000000000000000000e+00j)
 (3.911675512790679932e-01+-6.015302278683520854e-05j), (-8.400860579001824590e+03+0.000000000000000000e+00j), (-3.841752401952652690e+03+0.000000000000000000e+00j), (7.962703845470865417e+03+0.000000000000000000e+00j)
 (3.364104032516479492e-01+-4.810237078345380723e-05j), (-8.245215660422523797e+03+0.000000000000000000e+00j), (-4.595074356100414661e+03+0.000000000000000000e+00j), (9.517591352870080300e+03+0.000000000000000000e+00j)
 (1.696781665086746216e-01+-2.913797288783825934e-06j), (-8.048070684625543436e+03+0.000000000000000000e+00j), (-5.550323394711638684e+03+0.000000000000000000e+00j), (1.148621684310689307e+04+0.000000000000000000e+00j)
 (-5.495257675647735596e-02+6.196640606503933668e-05j), (-7.820437041989488534e+03+0.000000000000000000e+00j), (-6.651948916041180382e+03+0.000000000000000000e+00j), (1.376024357487439920e+04+0.000000000000000000e+00j)
 (-1.989936679601669312e-01+9.000304271467030048e-05j), (-7.563879479712274588e+03+0.000000000000000000e+00j), (-7.890117525291135280e+03+0.000000000000000000e+00j), (1.632472666344531171e+04+0.000000000000000000e+00j)
 (-1.578276902437210083e-01+2.329782546439673752e-05j), (-7.279598054306174163e+03+0.000000000000000000e+00j), (-9.263124011728676123e+03+0.000000000000000000e+00j), (1.916546700436801984e+04+0.000000000000000000e+00j)
 (-2.397543378174304962e-02+-9.210043936036527157e-05j), (-6.968683286882435823e+03+0.000000000000000000e+00j), (-1.076698524599194025e+04+0.000000000000000000e+00j), (2.227150499035233952e+04+0.000000000000000000e+00j)
 (3.451021015644073486e-01+-1.112427435145946220e-05j), (2.907907578741629550e+03+0.000000000000000000e+00j), (8.646862422624117244e+02+0.000000000000000000e+00j), (-1.772297638330357586e+03+0.000000000000000000e+00j)
 (9.362132102251052856e-02+-1.369944584439508617e-05j), (6.088380677031062078e+03+0.000000000000000000e+00j), (1.815974783303451659e+03+0.000000000000000000e+00j), (-3.707856548896004824e+03+0.000000000000000000e+00j)
 (-1.201481446623802185e-01+6.392521027009934187e-05j), (-1.173145806892807559e+04+0.000000000000000000e+00j), (-3.240344296038448647e+03+0.000000000000000000e+00j), (6.713382020126431598e+03+0.000000000000000000e+00j)
 (-1.127540320158004761e-01+4.427992098499089479e-05j), (-1.273493385975914862e+04+0.000000000000000000e+00j), (-3.036149394701996243e+03+0.000000000000000000e+00j), (6.295801970484339108e+03+0.000000000000000000e+00j)
 (3.456151485443115234e-02+-3.193422162439674139e-05j), (-1.418511911092184891e+04+0.000000000000000000e+00j), (-2.750648294919875298e+03+0.000000000000000000e+00j), (5.687711824736736162e+03+0.000000000000000000e+00j)
 (2.581341378390789032e-02+-6.164216028992086649e-05j), (-1.603146101578187154e+04+0.000000000000000000e+00j), (-2.380338679140373642e+03+0.000000000000000000e+00j), (4.916789761372656358e+03+0.000000000000000000e+00j)
 (-3.443003594875335693e-01+4.931081275572068989e-05j), (-1.824250206019327015e+04+0.000000000000000000e+00j), (-1.936131174387296596e+03+0.000000000000000000e+00j), (3.993986645846995998e+03+0.000000000000000000e+00j)
 (-1.902091801166534424e-01+1.009177958621876314e-05j), (-2.079532057615672966e+04+0.000000000000000000e+00j), (-1.407048950713733348e+03+0.000000000000000000e+00j), (2.936635714034562625e+03+0.000000000000000000e+00j)
 (1.451260745525360107e-01+-5.993160448269918561e-05j), (-2.367281171988437563e+04+0.000000000000000000e+00j), (-8.146405530322640516e+02+0.000000000000000000e+00j), (1.742942524084743127e+03+0.000000000000000000e+00j)
 (-3.755294904112815857e-02+8.311390411108732224e-05j), (-2.686094848873070441e+04+0.000000000000000000e+00j), (-1.741147122501074591e+02+0.000000000000000000e+00j), (4.127680512274801004e+02+0.000000000000000000e+00j)
 (3.853365778923034668e-01+-7.833444396965205669e-05j), (-3.040432237584583709e+04+0.000000000000000000e+00j), (5.542007627775287801e+02+0.000000000000000000e+00j), (-8.898487768267004867e+02+0.000000000000000000e+00j)
 (-7.684322446584701538e-02+6.273044709814712405e-05j), (-1.125311765859013758e+04+0.000000000000000000e+00j), (-3.519727942113671361e+03+0.000000000000000000e+00j), (7.286967298185884829e+03+0.000000000000000000e+00j)
 (-5.294473841786384583e-02+6.764845602447167039e-05j), (-1.116367147870461304e+04+0.000000000000000000e+00j), (-3.951694779653613296e+03+0.000000000000000000e+00j), (8.181335472811557338e+03+0.000000000000000000e+00j)
 (1.864529587328433990e-02+5.842199607286602259e-05j), (-1.102541605925705699e+04+0.000000000000000000e+00j), (-4.622326506553812578e+03+0.000000000000000000e+00j), (9.561927925559801224e+03+0.000000000000000000e+00j)
 (1.323470324277877808e-01+2.420001692371442914e-05j), (-1.086977114067775619e+04+0.000000000000000000e+00j), (-5.375648460701574550e+03+0.000000000000000000e+00j), (1.111681543295901611e+04+0.000000000000000000e+00j)
 (2.721482217311859131e-01+-3.999458567705005407e-05j), (-1.067262616488077583e+04+0.000000000000000000e+00j), (-6.330897499312799482e+03+0.000000000000000000e+00j), (1.308544092319582705e+04+0.000000000000000000e+00j)
 (3.300252258777618408e-01+-9.790246258489787579e-05j), (-1.044499252224472184e+04+0.000000000000000000e+00j), (-7.432523020642340271e+03+0.000000000000000000e+00j), (1.535946765496333319e+04+0.000000000000000000e+00j)
 (1.898729801177978516e-01+-8.290264668175950646e-05j), (-1.018843495996750789e+04+0.000000000000000000e+00j), (-8.670691629892295168e+03+0.000000000000000000e+00j), (1.792395074353424570e+04+0.000000000000000000e+00j)
 (-1.296777576208114624e-01+3.199273123755119741e-05j), (-9.904153534561406559e+03+0.000000000000000000e+00j), (-1.004369811632983510e+04+0.000000000000000000e+00j), (2.076469108445695747e+04+0.000000000000000000e+00j)
 (-3.762830495834350586e-01+1.397979940520599484e-04j), (-9.593238767137667310e+03+0.000000000000000000e+00j), (-1.154755935059309923e+04+0.000000000000000000e+00j), (2.387072907044127351e+04+0.000000000000000000e+00j)
 (3.449967503547668457e-01+-6.562183443747926503e-06j), (3.180473098289432528e+03+0.000000000000000000e+00j), (9.512885410410399345e+02+0.000000000000000000e+00j), (-1.935558910565647238e+03+0.000000000000000000e+00j)
 (1.715604066848754883e-01+-5.725218943553045392e-05j), (-1.463936564766970514e+04+0.000000000000000000e+00j), (-4.105030538300859916e+03+0.000000000000000000e+00j), (8.485679658456789184e+03+0.000000000000000000e+00j)
 (-4.164615273475646973e-02+5.013377631257753819e-06j), (-1.564284143850077817e+04+0.000000000000000000e+00j), (-3.900835636964407968e+03+0.000000000000000000e+00j), (8.068099608814696694e+03+0.000000000000000000e+00j)
 (-3.007119596004486084e-01+7.991465099621564150e-05j), (-1.709302668966347846e+04+0.000000000000000000e+00j), (-3.615334537182287022e+03+0.000000000000000000e+00j), (7.460009463067093748e+03+0.000000000000000000e+00j)
 (-2.316340357065200806e-01+2.119327473337762058e-05j), (-1.893936859452350109e+04+0.000000000000000000e+00j), (-3.245024921402785367e+03+0.000000000000000000e+00j), (6.689087399703013944e+03+0.000000000000000000e+00j)
 (3.244784427806735039e-03+-8.987996989162638783e-05j), (-2.115040963893489970e+04+0.000000000000000000e+00j), (-2.800817416649708321e+03+0.000000000000000000e+00j), (5.766284284177353584e+03+0.000000000000000000e+00j)
 (-2.363133281469345093e-01+5.177573257242329419e-05j), (-2.370322815489835921e+04+0.000000000000000000e+00j), (-2.271735192976145299e+03+0.000000000000000000e+00j), (4.708933352364920211e+03+0.000000000000000000e+00j)
 (2.926160953938961029e-02+7.644032848475035280e-06j), (-2.658071929862600518e+04+0.000000000000000000e+00j), (-1.679326795294675776e+03+0.000000000000000000e+00j), (3.515240162415100713e+03+0.000000000000000000e+00j)
 (2.780204713344573975e-01+-4.104372055735439062e-05j), (-2.976885606747233396e+04+0.000000000000000000e+00j), (-1.038800954512519183e+03+0.000000000000000000e+00j), (2.185065689557837686e+03+0.000000000000000000e+00j)
 (4.320910945534706116e-02+6.702412792947143316e-05j), (-3.331222995458747027e+04+0.000000000000000000e+00j), (-3.104854794848829442e+02+0.000000000000000000e+00j), (8.824488615036570991e+02+0.000000000000000000e+00j)
 (2.404082119464874268e-01+-6.945506174815818667e-05j), (-1.416102523733176713e+04+0.000000000000000000e+00j), (-4.384414184376083540e+03+0.000000000000000000e+00j), (9.059264936516241505e+03+0.000000000000000000e+00j)
 (2.294457405805587769e-01+-5.344104283722117543e-05j), (-1.407157905744624259e+04+0.000000000000000000e+00j), (-4.816381021916025020e+03+0.000000000000000000e+00j), (9.953633111141914924e+03+0.000000000000000000e+00j)
 (1.776804774999618530e-01+-1.349974445474799722e-05j), (-1.393332363799868654e+04+0.000000000000000000e+00j), (-5.487012748816224303e+03+0.000000000000000000e+00j), (1.133422556389015881e+04+0.000000000000000000e+00j)
 (9.581650793552398682e-02+4.130600791540928185e-05j), (-1.377767871941938574e+04+0.000000000000000000e+00j), (-6.240334702963986274e+03+0.000000000000000000e+00j), (1.288911307128937369e+04+0.000000000000000000e+00j)
 (1.109743211418390274e-02+9.542305633658543229e-05j), (-1.358053374362240538e+04+0.000000000000000000e+00j), (-7.195583741575210297e+03+0.000000000000000000e+00j), (1.485773856152618464e+04+0.000000000000000000e+00j)
 (-1.297078561037778854e-03+9.403730655321851373e-05j), (-1.335290010098635139e+04+0.000000000000000000e+00j), (-8.297209262904751085e+03+0.000000000000000000e+00j), (1.713176529329369077e+04+0.000000000000000000e+00j)
 (8.020065724849700928e-02+2.741747721302090213e-06j), (-1.309634253870913744e+04+0.000000000000000000e+00j), (-9.535377872154705983e+03+0.000000000000000000e+00j), (1.969624838186460329e+04+0.000000000000000000e+00j)
 (1.422998756170272827e-01+-1.173503260361030698e-04j), (-1.281206111330303611e+04+0.000000000000000000e+00j), (-1.090838435859224774e+04+0.000000000000000000e+00j), (2.253698872278731142e+04+0.000000000000000000e+00j)
 (7.403383962810039520e-03+-1.093148021027445793e-04j), (-1.250114634587929686e+04+0.000000000000000000e+00j), (-1.241224559285551186e+04+0.000000000000000000e+00j), (2.564302670877163109e+04+0.000000000000000000e+00j)
 (4.911798238754272461e-02+-3.752961856662295759e-05j), (-1.781983874595913585e+04+0.000000000000000000e+00j), (-5.056319079341899851e+03+0.000000000000000000e+00j), (1.042123856902243642e+04+0.000000000000000000e+00j)
 (1.056396886706352234e-01+-9.407596371602267027e-05j), (-1.882331453679021070e+04+0.000000000000000000e+00j), (-4.852124178005447902e+03+0.000000000000000000e+00j), (1.000365851938034393e+04+0.000000000000000000e+00j)
 (-2.897913940250873566e-02+-6.186350947245955467e-05j), (-2.027349978795291099e+04+0.000000000000000000e+00j), (-4.566623078223326957e+03+0.000000000000000000e+00j), (9.395568373632740986e+03+0.000000000000000000e+00j)
 (-3.557751774787902832e-01+8.075666119111701846e-05j), (-2.211984169281293362e+04+0.000000000000000000e+00j), (-4.196313462443825301e+03+0.000000000000000000e+00j), (8.624646310268661182e+03+0.000000000000000000e+00j)
 (-2.448886781930923462e-01+3.334533903398551047e-05j), (-2.433088273722433223e+04+0.000000000000000000e+00j), (-3.752105957690748255e+03+0.000000000000000000e+00j), (7.701843194743000822e+03+0.000000000000000000e+00j)
 (1.263249963521957397e-01+-1.063455565599724650e-04j), (-2.688370125318779174e+04+0.000000000000000000e+00j), (-3.223023734017185234e+03+0.000000000000000000e+00j), (6.644492262930567449e+03+0.000000000000000000e+00j)
 (-8.283034712076187134e-02+1.024549637804739177e-04j), (-2.976119239691543771e+04+0.000000000000000000e+00j), (-2.630615336335715710e+03+0.000000000000000000e+00j), (5.450799072980747951e+03+0.000000000000000000e+00j)
 (3.250323235988616943e-01+-6.738112278981134295e-05j), (-3.294932916576176649e+04+0.000000000000000000e+00j), (-1.990089495553559118e+03+0.000000000000000000e+00j), (4.120624600123484925e+03+0.000000000000000000e+00j)
 (1.860764063894748688e-02+6.702201790176331997e-05j), (-3.649270305287689553e+04+0.000000000000000000e+00j), (-1.261774020525922879e+03+0.000000000000000000e+00j), (2.818007772069304337e+03+0.000000000000000000e+00j)
 (4.952410608530044556e-02+-1.704037458694074303e-05j), (-1.734149833562119966e+04+0.000000000000000000e+00j), (-5.335702725417123474e+03+0.000000000000000000e+00j), (1.099482384708188874e+04+0.000000000000000000e+00j)
 (1.523042619228363037e-01+-5.123797382111661136e-05j), (-1.725205215573567693e+04+0.000000000000000000e+00j), (-5.767669562957064954e+03+0.000000000000000000e+00j), (1.188919202170756216e+04+0.000000000000000000e+00j)
 (2.820873856544494629e-01+-9.553506242809817195e-05j), (-1.711379673628812088e+04+0.000000000000000000e+00j), (-6.438301289857264237e+03+0.000000000000000000e+00j), (1.326978447445580605e+04+0.000000000000000000e+00j)
 (3.575026392936706543e-01+-1.169787065009586513e-04j), (-1.695815181770881827e+04+0.000000000000000000e+00j), (-7.191623244005026208e+03+0.000000000000000000e+00j), (1.482467198185502093e+04+0.000000000000000000e+00j)
 (3.276609778404235840e-01+-8.559222624171525240e-05j), (-1.676100684191183973e+04+0.000000000000000000e+00j), (-8.146872282616250232e+03+0.000000000000000000e+00j), (1.679329747209183188e+04+0.000000000000000000e+00j)
 (1.625542193651199341e-01+1.519178840680979192e-05j), (-1.653337319927578210e+04+0.000000000000000000e+00j), (-9.248497803945792839e+03+0.000000000000000000e+00j), (1.906732420385933801e+04+0.000000000000000000e+00j)
 (-4.591057449579238892e-02+1.254380476893857121e-04j), (-1.627681563699856997e+04+0.000000000000000000e+00j), (-1.048666641319574774e+04+0.000000000000000000e+00j), (2.163180729243025053e+04+0.000000000000000000e+00j)
 (-1.319981068372726440e-01+1.206584856845438480e-04j), (-1.599253421159246864e+04+0.000000000000000000e+00j), (-1.185967289963328585e+04+0.000000000000000000e+00j), (2.447254763335295866e+04+0.000000000000000000e+00j)
 (-4.665559902787208557e-02+-4.336978963692672551e-05j), (-1.568161944416872939e+04+0.000000000000000000e+00j), (-1.336353413389655179e+04+0.000000000000000000e+00j), (2.757858561933727833e+04+0.000000000000000000e+00j)
 (1.191448807716369629e+00+-3.854374313050357159e-07j), (-1.003475790831073482e+03+0.000000000000000000e+00j), (2.041949013364522898e+02+0.000000000000000000e+00j), (-4.175800496420927175e+02+0.000000000000000000e+00j)
 (4.821922183036804199e-01+2.139432808689889498e-06j), (-2.453661041993774234e+03+0.000000000000000000e+00j), (4.896960011185734061e+02+0.000000000000000000e+00j), (-1.025670195389695664e+03+0.000000000000000000e+00j)
 (-3.569608181715011597e-02+4.791418177774176002e-06j), (-4.300002946853795038e+03+0.000000000000000000e+00j), (8.600056168980750044e+02+0.000000000000000000e+00j), (-1.796592258753774558e+03+0.000000000000000000e+00j)
 (8.569652587175369263e-02+-6.321533874142915010e-06j), (-6.511043991265196382e+03+0.000000000000000000e+00j), (1.304213121651152051e+03+0.000000000000000000e+00j), (-2.719395374279435600e+03+0.000000000000000000e+00j)
 (-1.481349468231201172e-01+-4.928648195345886052e-06j), (-9.063862507228652248e+03+0.000000000000000000e+00j), (1.833295345324715299e+03+0.000000000000000000e+00j), (-3.776746306091868973e+03+0.000000000000000000e+00j)
 (-3.370828628540039062e-01+5.375048658606829122e-06j), (-1.194135365095629822e+04+0.000000000000000000e+00j), (2.425703743006184595e+03+0.000000000000000000e+00j), (-4.970439496041688471e+03+0.000000000000000000e+00j)
 (1.378687024116516113e-01+-1.817320298869162798e-05j), (-1.512949041980262700e+04+0.000000000000000000e+00j), (3.066229583788341188e+03+0.000000000000000000e+00j), (-6.300613968898951498e+03+0.000000000000000000e+00j)
 (-5.789939314126968384e-02+2.739150477282237262e-05j), (-1.867286430691776332e+04+0.000000000000000000e+00j), (3.794545058815977427e+03+0.000000000000000000e+00j), (-7.603230796953132085e+03+0.000000000000000000e+00j)
 (1.349671125411987305e+00+-1.368438461213372648e-06j), (4.783404103379369872e+02+0.000000000000000000e+00j), (-2.793836460752228845e+02+0.000000000000000000e+00j), (5.735852780594533442e+02+0.000000000000000000e+00j)
 (1.276688694953918457e+00+-5.384215910453349352e-06j), (5.677865902234618716e+02+0.000000000000000000e+00j), (-7.113504836151644213e+02+0.000000000000000000e+00j), (1.467953452685125967e+03+0.000000000000000000e+00j)
 (1.033797502517700195e+00+-9.345456419396214187e-06j), (7.060420096710180360e+02+0.000000000000000000e+00j), (-1.381982210515363931e+03+0.000000000000000000e+00j), (2.848545905433368716e+03+0.000000000000000000e+00j)
 (6.514160633087158203e-01+-6.274375664361286908e-06j), (8.616869282503193972e+02+0.000000000000000000e+00j), (-2.135304164663126357e+03+0.000000000000000000e+00j), (4.403433412832584509e+03+0.000000000000000000e+00j)
 (1.699568331241607666e-01+1.055109078151872382e-05j), (1.058831904047299304e+03+0.000000000000000000e+00j), (-3.090553203274350381e+03+0.000000000000000000e+00j), (6.372058903069396365e+03+0.000000000000000000e+00j)
 (-1.970264762639999390e-01+3.475414996501058340e-05j), (1.286465546683354205e+03+0.000000000000000000e+00j), (-4.192178724603892078e+03+0.000000000000000000e+00j), (8.646085634836901590e+03+0.000000000000000000e+00j)
 (-2.968525886535644531e-01+3.733239282155409455e-05j), (1.543023108960568379e+03+0.000000000000000000e+00j), (-5.430347333853846976e+03+0.000000000000000000e+00j), (1.121056872340781410e+04+0.000000000000000000e+00j)
 (-1.451823413372039795e-01+-8.011087629711255431e-06j), (1.827304534366668349e+03+0.000000000000000000e+00j), (-6.803353820291386910e+03+0.000000000000000000e+00j), (1.405130906433052405e+04+0.000000000000000000e+00j)
 (4.432255402207374573e-02+-6.182201468618586659e-05j), (2.138219301790407371e+03+0.000000000000000000e+00j), (-8.307215054554651942e+03+0.000000000000000000e+00j), (1.715734705031484191e+04+0.000000000000000000e+00j)
 (9.930304288864135742e-01+5.006996772749516822e-08j), (-1.450185251162700979e+03+0.000000000000000000e+00j), (2.855010997821211163e+02+0.000000000000000000e+00j), (-6.080901457476029464e+02+0.000000000000000000e+00j)
 (1.445893645286560059e-01+4.255314706824719906e-06j), (-3.296527156022722011e+03+0.000000000000000000e+00j), (6.558107155616226009e+02+0.000000000000000000e+00j), (-1.379012209111681841e+03+0.000000000000000000e+00j)
 (3.874238580465316772e-03+-4.885022875100730744e-08j), (-5.507568200434123355e+03+0.000000000000000000e+00j), (1.100018220314699647e+03+0.000000000000000000e+00j), (-2.301815324637342655e+03+0.000000000000000000e+00j)
 (2.558994106948375702e-02+-1.017726390273310244e-05j), (-8.060386716397579221e+03+0.000000000000000000e+00j), (1.629100443988262896e+03+0.000000000000000000e+00j), (-3.359166256449776029e+03+0.000000000000000000e+00j)
 (-3.977318108081817627e-01+7.597996045660693198e-06j), (-1.093787786012522520e+04+0.000000000000000000e+00j), (2.221508841669732192e+03+0.000000000000000000e+00j), (-4.552859446399595981e+03+0.000000000000000000e+00j)
 (6.242073699831962585e-02+-1.683871960267424583e-05j), (-1.412601462897155398e+04+0.000000000000000000e+00j), (2.862034682451888784e+03+0.000000000000000000e+00j), (-5.883033919256859008e+03+0.000000000000000000e+00j)
 (-6.112792342901229858e-02+1.951209742401260883e-05j), (-1.766938851608668847e+04+0.000000000000000000e+00j), (3.590350157479525024e+03+0.000000000000000000e+00j), (-7.185650747311039595e+03+0.000000000000000000e+00j)
 (9.911436438560485840e-01+-6.979138902352133300e-07j), (1.481816201169010355e+03+0.000000000000000000e+00j), (-4.835785474116752312e+02+0.000000000000000000e+00j), (9.911653277015460617e+02+0.000000000000000000e+00j)
 (9.427989125251770020e-01+-3.671819740702630952e-06j), (1.571262381054535354e+03+0.000000000000000000e+00j), (-9.155453849516168248e+02+0.000000000000000000e+00j), (1.885533502327218685e+03+0.000000000000000000e+00j)
 (7.852113246917724609e-01+-1.018805778585374355e-05j), (1.709517800502091632e+03+0.000000000000000000e+00j), (-1.586177111851816335e+03+0.000000000000000000e+00j), (3.266125955075461661e+03+0.000000000000000000e+00j)
 (5.304570794105529785e-01+-1.496454751759301871e-05j), (1.865162719081392879e+03+0.000000000000000000e+00j), (-2.339499065999578306e+03+0.000000000000000000e+00j), (4.821013462474676999e+03+0.000000000000000000e+00j)
 (1.691546887159347534e-01+-8.468790838378481567e-06j), (2.062307694878372786e+03+0.000000000000000000e+00j), (-3.294748104610802784e+03+0.000000000000000000e+00j), (6.789638952711489765e+03+0.000000000000000000e+00j)
 (-1.838074773550033569e-01+1.822830745368264616e-05j), (2.289941337514427687e+03+0.000000000000000000e+00j), (-4.396373625940344027e+03+0.000000000000000000e+00j), (9.063665684478994081e+03+0.000000000000000000e+00j)
 (-3.831875622272491455e-01+4.894568337476812303e-05j), (2.546498899791641634e+03+0.000000000000000000e+00j), (-5.634542235190298925e+03+0.000000000000000000e+00j), (1.162814877304990659e+04+0.000000000000000000e+00j)
 (-3.001358509063720703e-01+3.733183257281780243e-05j), (2.830780325197742059e+03+0.000000000000000000e+00j), (-7.007548721627838859e+03+0.000000000000000000e+00j), (1.446888911397261654e+04+0.000000000000000000e+00j)
 (4.778417758643627167e-03+-3.422224472160451114e-05j), (3.141695092621480399e+03+0.000000000000000000e+00j), (-8.511409955891103891e+03+0.000000000000000000e+00j), (1.757492709995693440e+04+0.000000000000000000e+00j)
 (7.927103042602539062e-01+7.127897561076679267e-07j), (-1.846341904860020804e+03+0.000000000000000000e+00j), (3.703096157795015415e+02+0.000000000000000000e+00j), (-7.709220633640788947e+02+0.000000000000000000e+00j)
 (-1.441910862922668457e-02+5.037918981543043628e-06j), (-4.057382949271422149e+03+0.000000000000000000e+00j), (8.145171205325785877e+02+0.000000000000000000e+00j), (-1.693725178889739709e+03+0.000000000000000000e+00j)
 (8.662249892950057983e-02+-6.885968559799948707e-06j), (-6.610201465234878015e+03+0.000000000000000000e+00j), (1.343599344206141723e+03+0.000000000000000000e+00j), (-2.751076110702173082e+03+0.000000000000000000e+00j)
 (-2.270295172929763794e-01+-1.714585096124210395e-06j), (-9.487692608962523082e+03+0.000000000000000000e+00j), (1.936007741887611246e+03+0.000000000000000000e+00j), (-3.944769300651992580e+03+0.000000000000000000e+00j)
 (-2.122931480407714844e-01+-1.345985538137028925e-06j), (-1.267582937780885186e+04+0.000000000000000000e+00j), (2.576533582669767839e+03+0.000000000000000000e+00j), (-5.274943773509256062e+03+0.000000000000000000e+00j)
 (8.325590193271636963e-02+-6.552093509526457638e-06j), (-1.621920326492398817e+04+0.000000000000000000e+00j), (3.304849057697404078e+03+0.000000000000000000e+00j), (-6.577560601563436649e+03+0.000000000000000000e+00j)
 (2.761776745319366455e-01+-1.924356865856680088e-06j), (2.932001452331711334e+03+0.000000000000000000e+00j), (-7.690796471937962906e+02+0.000000000000000000e+00j), (1.599255473449149122e+03+0.000000000000000000e+00j)
 (2.501993477344512939e-01+1.709125285742629785e-09j), (3.021447632217236333e+03+0.000000000000000000e+00j), (-1.201046484733737998e+03+0.000000000000000000e+00j), (2.493623648074821631e+03+0.000000000000000000e+00j)
 (2.193848639726638794e-01+-1.387205998071294744e-06j), (3.159703051664792383e+03+0.000000000000000000e+00j), (-1.871678211633937281e+03+0.000000000000000000e+00j), (3.874216100823064608e+03+0.000000000000000000e+00j)
 (1.862204968929290771e-01+-8.727837666810955852e-06j), (3.315347970244093631e+03+0.000000000000000000e+00j), (-2.625000165781699707e+03+0.000000000000000000e+00j), (5.429103608222279945e+03+0.000000000000000000e+00j)
 (1.165718436241149902e-01+-1.942529888765420765e-05j), (3.512492946041073992e+03+0.000000000000000000e+00j), (-3.580249204392923730e+03+0.000000000000000000e+00j), (7.397729098459092711e+03+0.000000000000000000e+00j)
 (-3.382182866334915161e-02+-1.674552549957297742e-05j), (3.740126588677128893e+03+0.000000000000000000e+00j), (-4.681874725722464973e+03+0.000000000000000000e+00j), (9.671755830226597027e+03+0.000000000000000000e+00j)
 (-2.422056049108505249e-01+1.596062065800651908e-05j), (3.996684150954342840e+03+0.000000000000000000e+00j), (-5.920043334972419871e+03+0.000000000000000000e+00j), (1.223623891879750954e+04+0.000000000000000000e+00j)
 (-3.430907428264617920e-01+5.776857142336666584e-05j), (4.280965576360442356e+03+0.000000000000000000e+00j), (-7.293049821409959804e+03+0.000000000000000000e+00j), (1.507697925972021949e+04+0.000000000000000000e+00j)
 (-1.499283164739608765e-01+4.013388752355240285e-05j), (4.591880343784181605e+03+0.000000000000000000e+00j), (-8.796911055673224837e+03+0.000000000000000000e+00j), (1.818301724570453734e+04+0.000000000000000000e+00j)
 (6.047236323356628418e-01+1.533871454739710316e-06j), (-2.211041044411401344e+03+0.000000000000000000e+00j), (4.442075047530770462e+02+0.000000000000000000e+00j), (-9.228031155256608145e+02+0.000000000000000000e+00j)
 (-4.877313971519470215e-02+3.726559498318238184e-06j), (-4.763859560374857210e+03+0.000000000000000000e+00j), (9.732897284266402949e+02+0.000000000000000000e+00j), (-1.980154047338094188e+03+0.000000000000000000e+00j)
 (7.082857191562652588e-02+-1.067171524482546374e-05j), (-7.641350704102503187e+03+0.000000000000000000e+00j), (1.565698126108109591e+03+0.000000000000000000e+00j), (-3.173847237287913686e+03+0.000000000000000000e+00j)
 (-3.944906890392303467e-01+7.317225026781670749e-06j), (-1.082948747294883287e+04+0.000000000000000000e+00j), (2.206223966890266183e+03+0.000000000000000000e+00j), (-4.504021710145176257e+03+0.000000000000000000e+00j)
 (9.326664358377456665e-02+-1.891552528832107782e-05j), (-1.437286136006396555e+04+0.000000000000000000e+00j), (2.934539441917902423e+03+0.000000000000000000e+00j), (-5.806638538199356844e+03+0.000000000000000000e+00j)
 (-8.766699582338333130e-02+-2.966506826851400547e-06j), (4.778343357191732139e+03+0.000000000000000000e+00j), (-1.139389262973297946e+03+0.000000000000000000e+00j), (2.370177536813228016e+03+0.000000000000000000e+00j)
 (-1.733295321464538574e-01+1.933577493673510617e-07j), (4.867789537077256682e+03+0.000000000000000000e+00j), (-1.571356100513239426e+03+0.000000000000000000e+00j), (3.264545711438900526e+03+0.000000000000000000e+00j)
 (-2.579756081104278564e-01+6.820976977905957028e-06j), (5.006044956524813642e+03+0.000000000000000000e+00j), (-2.241987827413438936e+03+0.000000000000000000e+00j), (4.645138164187143047e+03+0.000000000000000000e+00j)
 (-2.743477523326873779e-01+1.162772241514176130e-05j), (5.161689875104114435e+03+0.000000000000000000e+00j), (-2.995309781561200907e+03+0.000000000000000000e+00j), (6.200025671586359749e+03+0.000000000000000000e+00j)
 (-1.959908306598663330e-01+6.174023837957065552e-06j), (5.358834850901094796e+03+0.000000000000000000e+00j), (-3.950558820172425385e+03+0.000000000000000000e+00j), (8.168651161823170696e+03+0.000000000000000000e+00j)
