Vis,U,V,W
 (-1.482449844479560852e-02+-3.524169733282178640e-05j), (7.351956024170177443e+03+0.000000000000000000e+00j), (2.165412073563249578e+03+0.000000000000000000e+00j), (-4.491212622097687017e+03+0.000000000000000000e+00j)
 (2.372150570154190063e-01+3.245162588427774608e-05j), (9.976511504425410749e+03+0.000000000000000000e+00j), (2.945986178164409466e+03+0.000000000000000000e+00j), (-6.090436702186621915e+03+0.000000000000000000e+00j)
 (1.170719265937805176e-01+1.457228518120246008e-05j), (1.288441908316704030e+04+0.000000000000000000e+00j), (3.810672420426821191e+03+0.000000000000000000e+00j), (-7.862734340516979501e+03+0.000000000000000000e+00j)
 (-1.737879067659378052e-01+-8.866970165399834514e-05j), (1.606489218145647283e+04+0.000000000000000000e+00j), (4.761960961467861125e+03+0.000000000000000000e+00j), (-9.798293251082626739e+03+0.000000000000000000e+00j)
 (7.390479445457458496e-01+4.540167083177948371e-06j), (-1.754946564502665296e+03+0.000000000000000000e+00j), (-2.943581178740389532e+02+0.000000000000000000e+00j), (6.229453179398094562e+02+0.000000000000000000e+00j)
 (3.335199654102325439e-01+9.413997759111225605e-06j), (-2.758422355333738778e+03+0.000000000000000000e+00j), (-9.016321653758666343e+01+0.000000000000000000e+00j), (2.053652682977167387e+02+0.000000000000000000e+00j)
 (1.159498393535614014e-01+5.535973286896478385e-06j), (-4.208607606496439985e+03+0.000000000000000000e+00j), (1.953378832445344528e+02+0.000000000000000000e+00j), (-4.027248774498862076e+02+0.000000000000000000e+00j)
 (1.982846409082412720e-01+-1.127584982896223664e-05j), (-6.054949511356460789e+03+0.000000000000000000e+00j), (5.656474990240360512e+02+0.000000000000000000e+00j), (-1.173646940813965102e+03+0.000000000000000000e+00j)
 (-8.021045476198196411e-02+-3.931958872271934524e-06j), (-8.265990555767861224e+03+0.000000000000000000e+00j), (1.009855003777113097e+03+0.000000000000000000e+00j), (-2.096450056339625917e+03+0.000000000000000000e+00j)
 (-3.759737908840179443e-01+1.254775634151883423e-05j), (-1.081880907173131709e+04+0.000000000000000000e+00j), (1.538937227450676346e+03+0.000000000000000000e+00j), (-3.153800988152059290e+03+0.000000000000000000e+00j)
 (2.967639826238155365e-02+-2.499151196388993412e-05j), (-1.369630021545896307e+04+0.000000000000000000e+00j), (2.131345625132145415e+03+0.000000000000000000e+00j), (-4.347494178101878788e+03+0.000000000000000000e+00j)
